version_id,change_summary,top20_hit_rate,top10_hit_rate,top3_hit_rate,top3_at_least_one_hit_rate,is_better_than_baseline,is_overfit,keep_recommendation,failed_reason,train_vs_backtest_gap_top3,fold_dispersion_top3,fold_dispersion_top3_at_least_one,regime_dispersion_top3
v0_binary_baseline,"{""version_id"": ""v0_binary_baseline"", ""type"": ""binary""}",0.2584615384615384,0.2646153846153846,0.28717948717948716,0.6615384615384615,False,True,False,,-0.0016016530310911659,0.029902317409463065,0.07844645405527362,0.11921675182165736
v1_rank_heuristic,"{""version_id"": ""v1_rank_heuristic"", ""type"": ""rank""}",0.2684615384615385,0.26615384615384613,0.2871794871794872,0.723076923076923,True,True,False,overfit_candidate,-0.021832567114693113,0.06363935203072234,0.15839430986133848,0.11099890263152537
v2_rerank_k20_w100,"{""version_id"": ""v2_rerank_k20_w100"", ""type"": ""rerank"", ""k"": 20, ""w"": 1.0, ""p"": 0.08, ""tw"": 0.3}",0.26076923076923075,0.26,0.28205128205128205,0.676923076923077,False,True,False,overfit_candidate,0.01196715332378484,0.07068742949789857,0.14100232907556431,0.11420729006907247
v3_rerank_k30_w300,"{""version_id"": ""v3_rerank_k30_w300"", ""type"": ""rerank"", ""k"": 30, ""w"": 3.0, ""p"": 0.1, ""tw"": 0.4}",0.2661538461538462,0.2723076923076923,0.27179487179487183,0.6461538461538461,False,True,False,overfit_candidate,0.02270264963142038,0.061964338326126016,0.11512791959304437,0.15810160037956822
v4_rerank_k40_w500,"{""version_id"": ""v4_rerank_k40_w500"", ""type"": ""rerank"", ""k"": 40, ""w"": 5.0, ""p"": 0.13, ""tw"": 0.45}",0.25999999999999995,0.25999999999999995,0.29743589743589743,0.7230769230769232,True,True,False,overfit_candidate,0.0004107321083416382,0.0717948717948718,0.14267105377685702,0.1584773777029851
v5_two_stage_20_10_3,"{""version_id"": ""v5_two_stage_20_10_3"", ""type"": ""two_stage"", ""k"": 20, ""w"": 3.0, ""p"": 0.12, ""tw"": 0.5}",0.2584615384615384,0.26153846153846155,0.2666666666666667,0.6461538461538462,False,True,False,overfit_candidate,0.01789058963795026,0.06607230116269296,0.142671053776857,0.11444884256380283
v6_ablation_no_structure,"{""version_id"": ""v6_ablation_no_structure"", ""type"": ""rerank"", ""k"": 30, ""w"": 0.0, ""p"": 0.0, ""tw"": 0.0}",0.2584615384615384,0.2646153846153846,0.28717948717948716,0.6615384615384615,False,True,False,overfit_candidate,-0.0016016530310911659,0.029902317409463065,0.07844645405527362,0.11921675182165736
v7_ablation_no_trend,"{""version_id"": ""v7_ablation_no_trend"", ""type"": ""rerank"", ""k"": 30, ""w"": 3.0, ""p"": 0.1, ""tw"": 0.0}",0.26538461538461544,0.2723076923076923,0.27179487179487183,0.6461538461538461,False,True,False,overfit_candidate,0.02270264963142038,0.061964338326126016,0.11512791959304437,0.15810160037956822
v8_weight_search_light,"{""version_id"": ""v8_weight_search_light"", ""type"": ""rerank"", ""k"": 30, ""w"": 2.2, ""p"": 0.06, ""tw"": 0.35}",0.2676923076923077,0.27076923076923076,0.28205128205128205,0.676923076923077,False,True,False,overfit_candidate,0.015670857027488494,0.05847053462046862,0.13234346564680965,0.1872120491814159
v9_weight_search_aggressive,"{""version_id"": ""v9_weight_search_aggressive"", ""type"": ""rerank"", ""k"": 30, ""w"": 5.2, ""p"": 0.22, ""tw"": 0.55}",0.2615384615384615,0.2646153846153846,0.2666666666666667,0.6307692307692307,False,True,False,overfit_candidate,0.02560126198276902,0.06405126152203486,0.11305337274383898,0.15977005379008372
